uid,condition,loop_merge_idx,unique_case_condition,unique_case,duration,age,gender,ideo,educ,commit,choice,clean_choice,correct,clean_condition
R_6ELPzCsyzN92vMR,rational,5,5_rational,5,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,6,6_rational,6,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,10,10_rational,10,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,11,11_rational,11,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,12,12_rational,12,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,17,17_rational,17,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,19,19_rational,19,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,23,23_rational,23,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,26,26_rational,26,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6ELPzCsyzN92vMR,rational,29,29_rational,29,9.733333333333333,35 to 44,Male,Moderate,High school graduate,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,1,1_rational,1,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,4,4_rational,4,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,13,13_rational,13,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/4},emotional,False,Rational
R_3eOSfBS8X782AVe,rational,17,17_rational,17,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/4},emotional,False,Rational
R_3eOSfBS8X782AVe,rational,20,20_rational,20,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/4},emotional,False,Rational
R_3eOSfBS8X782AVe,rational,21,21_rational,21,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,22,22_rational,22,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,26,26_rational,26,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,28,28_rational,28,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_3eOSfBS8X782AVe,rational,29,29_rational,29,11.183333333333334,25 to 34,Male,Moderate,"Some college, but no degree (yet)","Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,7,7_rational,7,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,8,8_rational,8,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,9,9_rational,9,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,11,11_rational,11,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,16,16_rational,16,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,20,20_rational,20,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,21,21_rational,21,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,22,22_rational,22,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,24,24_rational,24,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_6KQ7ZF56719iUPj,rational,27,27_rational,27,12.783333333333333,35 to 44,Male,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_87EJ6d1n2zql7k5,emotional,2,2_emotional,2,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,4,4_emotional,4,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,7,7_emotional,7,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,11,11_emotional,11,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,14,14_emotional,14,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,15,15_emotional,15,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/3},rational,False,Emotional
R_87EJ6d1n2zql7k5,emotional,16,16_emotional,16,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,23,23_emotional,23,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,24,24_emotional,24,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
R_87EJ6d1n2zql7k5,emotional,28,28_emotional,28,15.1,25 to 34,Female,Not sure,High school graduate,"Yes, I will",${lm://Field/4},emotional,True,Emotional
